time,aperture_open_pp,axial_command_m_pp,bb_dilation_angle_pp,bb_effective_normal_stress_pp,bb_jrc_mobilized_pp,bb_law_normal_stress_pp,bb_limit_tau_pp,bb_mu_peak_pp,bb_normal_closure_pp,bb_normal_closure_um_pp,bb_normal_stiffness_tangent_pp,bb_peak_friction_angle_pp,bulk_delta_x_pp,bulk_delta_z_pp,bulk_disp_x_lower_pp,bulk_disp_x_upper_pp,bulk_disp_z_lower_pp,bulk_disp_z_upper_pp,bulk_normal_dilation_paper_mm_pp,bulk_shear_slip_mm_pp,cohesion_effective_pp,cumulative_dilation_pp,cumulative_plastic_slip_pp,czm_dn_pp,czm_dn_total_pp,czm_ds_1_pp,czm_ds_2_pp,czm_normal_dilation_paper_mm_pp,czm_shear_slip_mm_pp,czm_sigma_n_pp,czm_tau_1_pp,czm_tau_2_pp,differential_stress_biot_corrected_injection_pp,differential_stress_biot_corrected_pp,differential_stress_mpa_pp,differential_stress_reaction_mpa_pp,differential_stress_skeleton_bulk_pp,dilation_jump_increment_pp,effective_normal_compression_mpa_pp,effective_normal_compression_pp,effective_normal_paper_frame_mpa_pp,flow_mass_imbalance_fraction_pp,flow_rate_mesh_geometry_ml_min_pp,flow_rate_outlet_residual_volume_ml_min_pp,flow_rate_pp,flow_rate_reference_area_ml_min_pp,flow_rate_residual_volume_ml_min_pp,flow_rate_validation_ml_min_pp,frac_normal_dilation_paper_mm,frac_normal_jump_avg,fracture_interface_area_pp,fracture_permeability_1e13_m2_pp,fracture_permeability_pp,fracture_pressure_mean_pp,friction_coefficient_effective_pp,hydraulic_aperture_pp,hydraulic_aperture_um_pp,inj_reaction_sum_pp,inj_saveiin_sum_legacy_pp,injection_pressure_pp,interface_pressure_pp,limit_tau_pp,machine_spring_gap_m_pp,machine_spring_sigma1_mpa_pp,mechanical_aperture_pp,mechanical_aperture_raw_pp,normal_stress_aperture_pp,normal_stress_aperture_um_pp,plastic_slip_increment_pp,pp_drop_pp,pp_outlet_pp,prod_reaction_sum_pp,prod_saveiin_sum_legacy_pp,reaction_vs_machine_spring_mpa_pp,reported_czm_shear_slip_mm_pp,roughness_state_pp,shear_stress_paper_frame_mpa_pp,shear_traction_magnitude_pa,sigma1_fault_mpa_pp,sigma1_pp,sigma1_reaction_mpa_pp,sigma3_bulk_mpa_pp,sigma3_fault_mpa_pp,slip_damage_aperture_pp,slip_damage_aperture_um_pp,stress_xx_bulk_pp,stress_xx_fault_pp,stress_zz_fault_pp,stress_zz_top_pp,top_boundary_area_pp,top_disp_z_mean_m_pp,top_reaction_z_abs,top_reaction_z_raw
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,1.3684035018059e-07,-2.484637e-05,4.3,30192524.524169,15.6,30192524.524169,19844951.26249,0.63740782602387,4.4193159649819e-05,44.193159649819,5569908784258.9,32.513755353809,2.0511158964695e-07,3.6079791595517e-07,3.99659114336e-07,6.0477070398295e-07,4.5397843298862e-08,4.0619575925403e-07,-4.4763378480148e-06,0.00041500103947408,600000,0,0,1.3684035018059e-07,1.3684035018059e-07,2.407556333089e-12,3.1367964983856e-08,-0.00013684035018059,3.1367965076248e-05,-30192524.524169,24.07556333089,313679.64983856,4.0479194328855,4.0286914073775,2.2389194328855,0.70987744022806,0.70960451714163,0,30.192524524169,30192524.524169,30.159349854703,1.6861718321605,0.0054254240628001,0.013131099838514,3.1894585833718e-07,0.17861082711922,0.019136751500231,0.0054259612228626,-0.00013684035018059,1.3684035018059e-07,0.0040438255428083,20.201851386419,2.0201851386419e-12,2982953.2908199,0.63740782602387,4.9237621703683e-06,4.9237621703683,3.1894585833718e-07,5.0170937812404e-11,3015000,2982953.2908199,19844951.26249,2.5395567701959e-05,33.730393021742,1.3684035018059e-07,1.3684035018059e-07,5.1381200999476e-08,0.051381200999476,0,15000,3000000,2.1885166397523e-07,4.8113183701666e-11,-0.020515581514211,3.1367965076248e-05,1,0.3010051058449,313679.65076248,32.16965865219,32238919.432886,33.709877440228,31.529314915744,31.370783849067,0,0,-31529314.915744,-31370783.849067,-32169658.65219,-32238919.432886,0.0019607316392595,5.4919770195924e-07,66136.248802388,-66136.248802388
2,1.44204361783e-07,-2.484637e-05,4.3,30151624.396732,15.6,30151624.396732,19825678.321345,0.63763327014967,4.4185795638217e-05,44.185795638217,5539535351437.8,32.522939542885,2.1403302452731e-07,3.7074912280321e-07,4.011415233646e-07,6.1517454789191e-07,4.445453497143e-08,4.1520365777464e-07,-7.4547597973502e-06,0.00042802975854959,600000,0,0,1.44204361783e-07,1.44204361783e-07,-2.9844719168798e-12,3.1532774836227e-08,-0.000144204361783,3.1532774977462e-05,-30151624.396732,-29.844719168797,315327.74836227,4.0833602767446,4.0652411017249,2.2473602767446,0.71498707984968,0.72621865557647,0,30.151624396732,30151624.396732,30.13805082628,0.18146691617824,0.021708233538339,0.010762741247064,2.1914694021513e-07,0.71458104185606,0.013148816412908,0.021710382825832,-0.000144204361783,1.44204361783e-07,0.0040438255428083,20.205745984107,2.0205745984107e-12,3029801.3749672,0.63763327014967,4.9242565221344e-06,4.9242565221344,2.1914694021513e-07,3.1896488401696e-11,3060000,3029801.3749672,19825678.321345,2.5399417084063e-05,33.735505771053,1.44204361783e-07,1.44204361783e-07,5.1734270869835e-08,0.051734270869835,0,60000,3000000,-1.793790207844e-07,2.7567651379999e-11,-0.020518691203236,3.1532774977462e-05,1,0.30317171592148,315327.74977462,32.130462616365,32247360.276745,33.71498707985,31.521141621168,31.307289911696,0,0,-31521141.621168,-31307289.911696,-32130462.616365,-32247360.276745,0.0019607316392595,5.5304708406334e-07,66146.273531725,-66146.273531725
3.8,6.4860963782844e-08,-3.0006743471698e-05,4.3,30604557.276859,15.6,30604557.276859,20038672.427286,0.63515618952875,4.4265139036217e-05,44.265139036217,5883424855860.7,32.421924175841,2.2629891238459e-07,-2.2537432629831e-06,6.0317920304781e-07,8.2947811543241e-07,-3.9251333524403e-07,-2.6462565982271e-06,-0.0012905619039354,0.0018614563828623,600000,0,0,6.4860963782844e-08,6.4860963782844e-08,3.1039294934686e-12,1.2020445250532e-07,-6.4860963782844e-05,0.0001202044525454,-30604557.276859,31.039294934686,1202044.5250532,5.8016203311932,5.7705234252102,3.9332203311932,2.7984980099467,2.7910737375776,0,30.604557276859,30604557.276859,30.600760001779,0.12215160042545,0.041115337944567,0.023940654932887,3.5557665773219e-07,1.3548929036117,0.021334599463931,0.041119408689497,-6.4860963782844e-05,6.4860963782844e-08,0.0040438255428083,20.163910733762,2.0163910733762e-12,3062171.8233617,0.63515618952875,4.9190653800562e-06,4.9190653800562,3.5557665773219e-07,-1.0170795623165e-11,3114000,3062171.8233617,20038672.427286,2.6969044353604e-05,35.820284710457,6.4860963782844e-08,6.4860963782844e-08,4.7943195836817e-08,0.047943195836817,0,114000,3000000,-3.9901091554811e-07,-1.7240240546543e-11,-0.021786700510006,0.0001202044525454,1,1.1866304547164,1202044.525454,33.934075053113,33933220.331193,35.798498009947,31.142146593616,31.112130766494,0,0,-31142146.593616,-31112130.766494,-33934075.053113,-33933220.331193,0.0019607316392595,-3.0376991180942e-06,70233.965559076,-70233.965559076
5.96,0,-3.6199191637736e-05,4.3,31143641.298414,15.6,31143641.298414,20290948.363356,0.63226235082962,4.4353589922755e-05,44.353589922755,6314715466905.4,32.303626155512,2.1954532284924e-07,-5.4191984629407e-06,8.546201956868e-07,1.074165518536e-06,-9.1570294950475e-07,-6.3349014124455e-06,-0.0028192982148321,0.0046333000879901,600000,0,0,-2.3589922755079e-08,-2.3589922755079e-08,1.7543421231579e-11,2.2647545948165e-07,2.3589922755079e-05,0.00022647546016114,-31143641.298414,175.43421231579,2264754.5948165,7.8619769902858,7.8135566037396,5.9546969902858,5.2945573786791,5.2564186812641,0,31.143641298414,31143641.298414,31.155034714064,0.14598874376852,0.06427437988031,0.037786119320295,5.4954174616697e-07,2.1204993170176,0.032972504770018,0.064280743554285,2.3589922755079e-05,-2.3589922755079e-08,0.0040438255428083,20.120801278609,2.0120801278609e-12,3098099.3557564,0.63226235082962,4.9136745038686e-06,4.9136745038686,5.4954174616697e-07,-4.0373210125969e-11,3178800,3098099.3557564,20290948.363356,2.8849467822931e-05,38.317863162418,0,-2.3589922755079e-08,4.375228289632e-08,0.04375228289632,0,178800,3000000,-6.2976865533824e-07,-5.0446177068647e-11,-0.023305783738408,0.00022647546016114,1,2.2450196524899,2264754.6016114,36.14055788321,35954696.990286,38.294557378679,30.698278309022,30.935485815052,0,0,-30698278.309022,-30935485.815052,-36140557.88321,-35954696.990286,0.0019607316392595,-7.3497238148044e-06,75131.046651368,-75131.046651368
8.552,0,-4.3630129436981e-05,4.3,31785146.12951,15.6,31785146.12951,20589444.157735,0.62889285123464,4.4451066364616e-05,44.451066364616,6860367826561.6,32.16549313997,1.9220017072311e-07,-9.2330774929597e-06,1.1659677853338e-06,1.3581679560569e-06,-1.542509127427e-06,-1.0775586620387e-05,-0.0046443868500968,0.0079822510411082,600000,0,0,-1.2106636461597e-07,-1.2106636461597e-07,3.5859147423114e-11,3.5383577918043e-07,0.00012106636461597,0.00035383578099749,-31785146.12951,358.59147423114,3538357.7918043,10.332996164299,10.263385351569,8.379060164299,8.2861004022072,8.2024790686657,0,31.78514612951,31785146.12951,31.819288086854,0.13916587123424,0.091961554879359,0.053908489988572,7.8871291339637e-07,3.0370433493571,0.047322774803782,0.091970659803507,0.00012106636461597,-1.2106636461597e-07,0.0040438255428083,20.083374804027,2.0083374804027e-12,3140541.9787834,0.62889285123464,4.9089511475607e-06,4.9089511475607,7.8871291339637e-07,-6.6649939706953e-11,3256560,3140541.9787834,20589444.157735,3.1103167306772e-05,41.311226816854,0,-1.2106636461597e-07,3.9180145656961e-08,0.039180145656961,0,256560,3000000,-8.9847483314287e-07,-8.0073368842527e-11,-0.025126414646834,0.00035383578099749,1,3.5135058353264,3538357.8099749,38.817049113414,38379060.164299,41.286100402207,30.176581095633,30.756764137895,0,0,-30176581.095633,-30756764.137895,-38817049.113414,-38379060.164299,0.0019607316392595,-1.252696213021e-05,81000.229476429,-81000.229476429
11.6624,0,-5.2547254796075e-05,4.3,32549745.27746,15.6,32549745.27746,20942843.037738,0.62497743525858,4.4557259571697e-05,44.557259571697,7558959752746.9,32.004452256585,1.3990090335239e-07,-1.3825914462634e-05,1.5505066613721e-06,1.6904075647245e-06,-2.2936652585542e-06,-1.6119579721189e-05,-0.0068252964273067,0.012024591954417,600000,0,0,-2.2725957169696e-07,-2.2725957169696e-07,5.1701560750371e-11,5.0645351903081e-07,0.00022725957169696,0.0005064535216698,-32549745.27746,517.01560750371,5064535.1903081,13.296642988223,13.201438645021,11.286719788223,11.872083751235,11.723981158554,0,32.54974527746,32549745.27746,32.615482932433,0.12913386205331,0.12501845893633,0.072977294439879,1.0771869319842e-06,4.1333305693149,0.06463121591905,0.12503083675646,0.00022725957169696,-2.2725957169696e-07,0.0040438255428083,20.043132697541,2.0043132697541e-12,3191198.094663,0.62497743525858,4.9038582541478e-06,4.9038582541478,1.0771869319842e-06,-9.1060660544288e-11,3349872,3191198.094663,20942843.037738,3.3804692492674e-05,44.89939256877,0,-2.2725957169696e-07,3.4259285564614e-08,0.034259285564614,0,349872,3000000,-1.2162882406647e-06,-1.0826171727097e-10,-0.027308817534504,0.0005064535216698,1,5.0340490113224,5064535.216698,42.053484189252,41286719.788223,44.872083751235,29.562738629669,30.567341557599,0,0,-29562738.629669,-30567341.557599,-42053484.189252,-41286719.788223,0.0019607316392595,-1.8742562303401e-05,88035.659593108,-88035.659593108
15.39488,0,-6.3247805226989e-05,4.3,33462456.609685,15.6,33462456.609685,21361407.814812,0.62043956891748,4.4671381467679e-05,44.671381467679,8465437812422.7,31.817099355014,5.6006181930296e-08,-1.9355273155493e-05,2.0247040953964e-06,2.0807102773267e-06,-3.1939744395395e-06,-2.2549247595033e-05,-0.0094326067387167,0.016901351003068,600000,0,0,-3.413814676789e-07,-3.413814676789e-07,5.869343985343e-11,6.8932136499238e-07,0.0003413814676789,0.00068932136749115,-33462456.609685,586.9343985343,6893213.6499238,16.850996895031,16.724905296497,14.773889055031,16.17089770302,15.933414692311,0,33.462456609685,33462456.609685,33.569890545123,0.1178429984586,0.16448645993875,0.095556034043819,1.4247086304544e-06,5.4445876531447,0.085482517827264,0.16450274540438,0.0003413814676789,-3.413814676789e-07,0.0040438255428083,20.000556538848,2.0000556538848e-12,3251693.7357755,0.62043956891748,4.8984700186827e-06,4.8984700186827,1.4247086304544e-06,-1.143542946051e-10,3461846.4,3251693.7357755,21361407.814812,3.7043233509171e-05,49.20082274688,0,-3.413814676789e-07,2.90476324867e-08,0.0290476324867,0,461846.4,3000000,-1.592600567397e-06,-1.3584867529396e-10,-0.029925043860736,0.00068932136749115,1,6.8568495050931,6893213.6749115,45.961003461983,44773889.055031,49.17089770302,28.840474362721,30.361933339955,0,0,-28840474.362721,-30361933.339955,-45961003.461983,-44773889.055031,0.0019607316392595,-2.6204571717818e-05,96469.609837351,-96469.609837351
19.873856,0,-7.6088465744085e-05,4.3,34553231.69101,15.6,34553231.69101,21857074.313061,0.61519912677884,4.4792041763246e-05,44.792041763246,9659170518778.7,31.599789280658,-6.8588276828533e-08,-2.6010912418605e-05,2.6087710402563e-06,2.5401827634277e-06,-4.2731292908027e-06,-3.0284041709407e-05,-0.012550351913331,0.022782908858431,600000,0,0,-4.6204176324589e-07,-4.6204176324589e-07,5.1737612817557e-11,9.0842106224156e-07,0.00046204176324589,0.00090842106371488,-34553231.69101,517.37612817556,9084210.6224156,21.113454007463,20.950149288321,18.955724599463,21.32424887952,20.964549264363,0,34.55323169101,34553231.69101,34.713951461479,0.10695371755983,0.21161751493657,0.12236027778044,1.8422974065283e-06,7.01310405809,0.1105378443917,0.21163846675088,0.00046204176324589,-4.6204176324589e-07,0.0040438255428083,19.956369605413,1.9956369605413e-12,3324041.1480963,0.61519912677884,4.8928923720143e-06,4.8928923720143,1.8422974065283e-06,-1.3687282470745e-10,3596215.68,3324041.1480963,21857074.313061,4.0925546013259e-05,54.35731021481,0,-4.6204176324589e-07,2.3632938103501e-08,0.023632938103501,0,596215.68,3000000,-2.0393379630073e-06,-1.6327908353373e-10,-0.033061335290448,0.00090842106371488,1,9.0419943321212,9084210.6371488,50.674490426394,48955724.599463,54.32424887952,27.9911753351,30.136346683773,0,0,-27991175.3351,-30136346.683773,-50674490.426394,-48955724.599463,0.0019607316392595,-3.5162919730826e-05,106580.09796296,-106580.09796296
24.873856,0,-9.0422836498801e-05,4.3,35767291.042402,15.6,35767291.042402,22403125.775995,0.60958488090886,4.4909118510736e-05,44.909118510736,11139753677154,31.365847203734,-2.3183180654748e-07,-3.3461483062954e-05,3.2764063430071e-06,3.0445745364597e-06,-5.476587423143e-06,-3.8938070486097e-05,-0.016019684229882,0.029378466807064,600000,0,0,-5.7911851073648e-07,-5.7911851073648e-07,3.0086929876743e-11,1.152641025062e-06,0.00057911851073648,0.0011526410254547,-35767291.042402,300.86929876743,11526410.25062,25.868490459136,25.663522655272,23.620761051136,27.071464474331,26.558877340287,0,35.767291042402,35767291.042402,35.989779129189,0.097573181736616,0.26400231379301,0.15202528902084,2.3085064933939e-06,8.7590466667653,0.13851038960364,0.26402845211837,0.00057911851073648,-5.7911851073648e-07,0.0040438255428083,19.914395091257,1.9914395091257e-12,3404602.6735594,0.60958488090886,4.8876193794896e-06,4.8876193794896,2.3085064933939e-06,-1.5751697433991e-10,3746215.68,3404602.6735594,22403125.775995,4.5255250355821e-05,60.108023522602,0,-5.7911851073648e-07,1.8483800120122e-08,0.018483800120122,0,746215.68,3000000,-2.533754817014e-06,-1.8919387256297e-10,-0.036559048270533,0.0011526410254547,1,11.478951953811,11526410.254547,55.959238051714,53620761.051136,60.071464474331,27.061883710849,29.903117165452,0,0,-27061883.710849,-29903117.165452,-55959238.051714,-53620761.051136,0.0019607316392595,-4.516758614298e-05,117855.70349351,-117855.70349351
